App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated
GFBFChatStoriesHindiEnglishConvesation,FAMILY,4.1,32,4.1M,10000,Free,0,Everyone,Education,18-Jun-18
PermitTestAZArizonaMVDDOT,FAMILY,4.6,227,11M,10000,Free,0,Everyone,Education,12-Oct-17
STUCORAU,FAMILY,4.5,1827,12M,100000,Free,0,Everyone,Education,05-Jun-18
LearnersTestFreeAUDriverKnowledgeTestDKT,FAMILY,3.9,623,8.5M,100000,Free,0,Everyone,Education,26-Mar-18
AUResultsAUCOECorner,FAMILY,4,664,2.1M,100000,Free,0,Everyone,Education,14-Dec-17
CrAviationAcademy,FAMILY,5,7,22M,100,Free,0,Everyone,Education,09-Aug-17
ElifBaLearnTheHolyQuran,FAMILY,4.8,1491,38M,50000,Free,0,Everyone,Education,31-Oct-17
BCConnect,FAMILY,3.8,11,17M,1000,Free,0,Everyone,Education,14-Mar-18
BCWildflowers,FAMILY,4.4,7,81M,1000,Free,0,Everyone,Education,10-Jul-17
APCalculusBCPracticeTestsandFlashcards,FAMILY,3.6,5,5.4M,1000,Free,0,Everyone,Education,03-Jul-18
ArizonaMobile,FAMILY,4.3,285,6.2M,10000,Free,0,Everyone,Education,07-Nov-17
LearnEnglishVocabularyWords,FAMILY,4.5,205914,54M,10000000,Free,0,Everyone,Education,03-Aug-18
BrShafi,FAMILY,4.9,1288,26M,10000,Free,0,Everyone,Education,11-Jul-18
BSCSITSE,FAMILY,4.6,9,6.9M,1000,Free,0,Everyone,Education,16-May-18
BscAgriNotes,FAMILY,4.5,301,5.6M,10000,Free,0,Everyone,Education,01-Jul-18
BScAgEntrancePreparation,FAMILY,4.4,138,6.2M,10000,Free,0,Everyone,Education,31-May-18
CRFamily,FAMILY,2.3,10,5.2M,1000,Free,0,Everyone,Education,08-Feb-17
SAPBWTutorial,FAMILY,4,11,9.4M,1000,Free,0,Everyone,Education,10-Jan-16
TFOBZLessons,FAMILY,4.4,75,3.7M,500,Free,0,Everyone,Education,28-Apr-17
CBNews,FAMILY,5,7,20M,50,Free,0,Everyone,Education,10-Sep-16
ProfessorOnlineSEDUCCE,FAMILY,4.1,188,4.6M,10000,Free,0,Everyone,Education,06-Jul-18
CFLife,FAMILY,5,4,8.3M,100,Free,0,Everyone,Education,27-Jun-18
PermitTestCOColoradoDMV,FAMILY,4.5,41,11M,1000,Free,0,Everyone,Education,15-Jun-17
GATECSEngineeringExamPrepApp,FAMILY,4.2,162,6.2M,10000,Free,0,Everyone,Education,15-Feb-18
DUCSLecturesLearntoCodeforFree,FAMILY,4.8,16,7.8M,100,Free,0,Everyone,Education,29-Jul-18
PermitTestConnecticutCTDMV,FAMILY,4.6,186,9.6M,10000,Free,0,Everyone,Education,12-Oct-17
CSInterviewQuestionsTechQ,FAMILY,4.8,33,6.7M,5000,Free,0,Everyone,Education,27-Jan-17
MathSolver,FAMILY,4.3,2250,30M,100000,Free,0,Everyone,Education,21-Nov-17
CymathMathProblemSolver,FAMILY,4.5,10159,6.4M,1000000,Free,0,Everyone,Education,13-Apr-18
DriverPermitTestPrepDCDMVDriversLicenseEd,FAMILY,4.7,78,11M,5000,Free,0,Everyone,Education,12-Oct-17
DMBuddyLearnDigitalMarketing,FAMILY,5,3,1.7M,500,Free,0,Everyone,Education,11-Jul-17
DSStudents,FAMILY,4.8,5,8.4M,100,Free,0,Everyone,Education,03-Jul-18
DuChineseMandarinLessons,FAMILY,4.8,3390,9.2M,100000,Free,0,Everyone,Education,03-Oct-17
DWAudio,FAMILY,4.9,38,5.0M,1000,Free,0,Everyone,Education,16-Jun-17
USADVLotteryProcess,FAMILY,4.5,8,1.7M,1000,Free,0,Everyone,Education,12-Mar-17
EBMobile,FAMILY,1.7,1172,5.6M,10000,Free,0,Everyone,Education,09-Oct-17
KPSCHAUHANDYDX,FAMILY,4.9,37,10M,100,Free,0,Everyone,Education,28-Jul-18
DrDYPatilVidyapeethGBS,FAMILY,4,3,5.3M,100,Free,0,Everyone,Education,14-Feb-17
EyewitnessTravelPhraseBook,FAMILY,3.8,10,25M,1000,Free,0,Everyone,Education,28-Jul-17
VisuellesWrterbuchAudioApp,FAMILY,3.1,192,66M,10000,Free,0,Everyone,Education,07-Jul-17
EFTeacher,FAMILY,3.1,16,17M,1000,Free,0,Everyone,Education,19-Apr-18
EFParnts,FAMILY,4.1,435,17M,50000,Free,0,Everyone,Education,21-Jun-18
EnglishinaMonthFree,FAMILY,3.8,6577,13M,1000000,Free,0,Everyone,Education,23-Jul-17
EnglishAudioBooksLibrivox,FAMILY,4,10773,10M,1000000,Free,0,Everyone,Education,29-Nov-17
MyEU,FAMILY,3.8,4,13M,100,Free,0,Everyone,Education,15-May-17
BMSPMPractice,FAMILY,5,6,9.2M,1000,Free,0,Everyone,Education,24-Jan-18
LearnMathwithelChavo,FAMILY,4.2,840,60M,100000,Free,0,Everyone,Education,28-Jun-18
POLARISMFG,FAMILY,4.8,1228,29M,10000,Free,0,Everyone,Education,28-Mar-18
UniversityofFlorida,FAMILY,4,168,7.6M,10000,Free,0,Everyone,Education,02-Oct-17
FloridaTechMobile,FAMILY,3.8,87,5.4M,5000,Free,0,Everyone,Education,13-Sep-16
FloridaWildflowers,FAMILY,5,5,69M,1000,Free,0,Everyone,Education,10-Jul-17
FrMikeSchmitzAudioTeachings,FAMILY,5,4,3.6M,100,Free,0,Everyone,Education,06-Jul-18
SyaaMarocFR,FAMILY,4.5,38,53M,5000,Free,0,Everyone,Education,25-Jul-17
FRCalculator,FAMILY,4,7,2.6M,500,Free,0,Everyone,Education,18-Jun-17
PermitTestFLFloridaDHSMV,FAMILY,4.7,246,11M,10000,Free,0,Everyone,Education,12-Oct-17
MonsterHigh,FAMILY,4.1,66661,22M,5000000,Free,0,Everyone,Casual;Pretend Play,02-Feb-18
AnimalJamPlayWild,FAMILY,4.6,361970,58M,5000000,Free,0,Everyone,Casual;Pretend Play,02-Aug-18
RealRacing,FAMILY,4.5,354384,71M,10000000,Free,0,Everyone,Racing;Action & Adventure,02-Jul-18
ShopkinsWorld,FAMILY,4.3,169609,34M,10000000,Free,0,Everyone,Arcade;Action & Adventure,13-Jun-18
TransformersRescueBotsHeroAdventures,FAMILY,4.2,41273,16M,5000000,Free,0,Everyone,Adventure;Action & Adventure,05-Jul-18
MyLittlePonyHarmonyQuest,FAMILY,4.1,148295,26M,10000000,Free,0,Everyone,Casual;Action & Adventure,05-Mar-18
PACMANPop,FAMILY,4.3,24877,54M,5000000,Free,0,Everyone,Puzzle;Action & Adventure,20-Jun-18
TransformersRescueBotsDisasterDash,FAMILY,4.4,19245,25M,1000000,Free,0,Everyone,Casual;Action & Adventure,28-Mar-18
PlantsvsZombiesHeroes,FAMILY,4.4,379415,68M,10000000,Free,0,Everyone,Casual;Action & Adventure,26-Jun-18
SupermarketGameforKids,FAMILY,4.4,112080,26M,10000000,Free,0,Everyone,Casual;Pretend Play,26-Jul-18
codeSparkAcademyTheFoos,FAMILY,4.1,4522,57M,500000,Free,0,Everyone,Educational;Education,21-Jun-18
NancyDrewCodesandClues,FAMILY,4.1,154,16M,10000,Free,0,Everyone,Educational;Education,13-Jan-17
EarthtoLunaWatchandPlay,FAMILY,3.9,10753,84M,1000000,Free,0,Everyone,Educational;Education,23-Jul-18
ThomasFriendsGoGoThomas,FAMILY,4.1,175625,16M,10000000,Free,0,Everyone,Racing;Action & Adventure,22-Nov-17
DoctorPets,FAMILY,4.2,23060,21M,1000000,Free,0,Everyone,Educational;Education,26-Jul-18
ChessforKidsPlayLearn,FAMILY,4.1,3234,47M,100000,Free,0,Everyone,Puzzle;Brain Games,15-May-18
Checkers,FAMILY,4.1,3617,19M,1000000,Free,0,Everyone,Board;Brain Games,24-Jul-18
COOKINGMAMALetsCook,FAMILY,4.3,528745,59M,10000000,Free,0,Everyone,Educational;Pretend Play,26-Jul-18
HelloKittyLunchbox,FAMILY,4.2,51838,15M,5000000,Free,0,Everyone,Casual;Creativity,21-Nov-17
BarbieLife,FAMILY,3.9,133117,63M,5000000,Free,0,Everyone,Casual;Pretend Play,12-Jul-18
DominosGame,FAMILY,4.1,2903,16M,1000000,Free,0,Everyone,Board;Brain Games,05-Jul-18
BarbieMagicalFashion,FAMILY,4,328619,15M,10000000,Free,0,Everyone,Casual;Creativity,06-Oct-17
TocaKitchen,FAMILY,4.5,1014822,56M,50000000,Free,0,Everyone,Educational;Pretend Play,29-Jun-17
TruckTransportRawMaterial,FAMILY,4.2,632,50M,100000,Free,0,Everyone,Simulation,20-Jul-18
flix,FAMILY,4.2,1111,7.3M,100000,Free,0,Everyone,Entertainment,05-Jun-18
TETRISBlitz,FAMILY,4.4,201631,96M,5000000,Free,0,Everyone,Puzzle,01-Jun-18
POGOGames,FAMILY,3.8,32600,26M,1000000,Free,0,Everyone,Casual,22-Feb-17
MyOasisCalmingandRelaxingIdleClickerGame,FAMILY,4.6,106750,94M,1000000,Free,0,Everyone,Simulation;Action & Adventure,29-Jun-18
CutieCubies,FAMILY,4.4,6356,83M,500000,Free,0,Everyone,Puzzle;Creativity,04-Jul-18
KidsCornerInteractiveTalesandGamesforkids,FAMILY,4.5,6404,46M,500000,Free,0,Everyone,Educational;Brain Games,16-Jul-18
MontessoriPreschool,FAMILY,3.9,237,26M,100000,Free,0,Everyone,Education;Education,12-Jul-18
RhythmPatrol,FAMILY,4.3,4207,26M,100000,Free,0,Everyone,Music;Music & Video,23-Jul-18
StrawberryShortcakeIceCreamIsland,FAMILY,4.2,32029,15M,5000000,Free,0,Everyone,Casual;Pretend Play,06-Nov-17
EducationalGamesKids,FAMILY,4.3,11618,39M,5000000,Free,0,Everyone,Educational;Education,03-Apr-18
PuzzleKidsAnimalsShapesandJigsawPuzzles,FAMILY,4.6,1109,52M,1000000,Free,0,Everyone,Educational;Brain Games,18-Jul-18
KidsEducationalGameFree,FAMILY,4.3,24936,38M,5000000,Free,0,Everyone,Educational;Education,16-May-18
SuperABCLearninggamesforkidsPreschoolapps,FAMILY,4.6,20267,46M,1000000,Free,0,Everyone,Educational;Education,16-Jul-18
MyLittlePonyRainbowRunners,FAMILY,4.3,33785,16M,5000000,Free,0,Everyone,Casual;Action & Adventure,20-Dec-17
XtremeRacingJeepxoffroadsimulator,FAMILY,4.2,2178,99M,500000,Free,0,Everyone,Racing;Action & Adventure,23-Aug-17
FruitCubeBlast,FAMILY,4.6,9199,80M,500000,Free,0,Everyone,Puzzle;Brain Games,03-Aug-18
BabyABCinboxKidsalphabetgamesfortoddlers,FAMILY,4.6,9652,53M,1000000,Free,0,Everyone,Educational;Education,16-Jul-18
LEGOFriendsHeartlakeRush,FAMILY,4.5,23671,91M,1000000,Free,0,Everyone,Arcade;Pretend Play,31-Jul-18
DrawingforKidsLearningGamesforToddlersage,FAMILY,4.6,29436,43M,1000000,Free,0,Everyone,Educational;Education,21-Mar-18
DrPandaTownVacation,FAMILY,3.8,10366,78M,1000000,Free,0,Everyone,Education;Pretend Play,24-Jul-18
ExtremeRacingRealdrivingRCcarsgame,FAMILY,4.3,4207,93M,500000,Free,0,Everyone,Racing;Action & Adventure,31-Aug-17
LEGOJuniorsCreateCruise,FAMILY,4.1,673203,73M,50000000,Free,0,Everyone,Educational;Action & Adventure,19-Jan-18
DrPandaRestaurant,FAMILY,4.2,11126,91M,1000000,Free,0,Everyone,Educational;Pretend Play,23-Mar-18
TunnelTown,FAMILY,4.4,74744,60M,1000000,Free,0,Everyone,Strategy,26-Jul-18
BonzaPolyArtTenkyuAnimalJamforKids,FAMILY,4.1,22,31M,1000,Free,0,Everyone,Puzzle,03-Aug-18
OrbitaAIExcitingmobilepuzzlesriddles,FAMILY,4.6,116973,31M,1000000,Free,0,Everyone,Puzzle,29-Mar-18
AJAcademyAmazingAnimals,FAMILY,4.5,1564,35M,50000,Free,0,Everyone,Educational;Education,25-May-18
ARToyboxAugmentedRealityDemos,FAMILY,3.8,20,36M,1000,Free,0,Everyone,Simulation,17-Aug-17
BubbuMyVirtualPet,FAMILY,4.7,394842,75M,10000000,Free,0,Everyone,Casual;Pretend Play,04-Aug-18
AGSubwaySimulatorLite,FAMILY,4.4,6738,56M,100000,Free,0,Everyone,Simulation,08-Jun-18
BadPiggies,FAMILY,4.3,1168959,66M,50000000,Free,0,Everyone,Puzzle,03-May-17
DanceSchoolStoriesDanceDreamsComeTrue,FAMILY,4.4,91171,36M,1000000,Free,0,Everyone,Role Playing,03-Aug-18
WorldHistoryQuickeBook,FAMILY,4.4,1657,4.9M,100000,Free,0,Everyone,Education;Education,17-Jul-18
OffroadGClass,FAMILY,4.4,7715,28M,500000,Free,0,Everyone,Simulation,29-Jun-18
FindaWayAddictivePuzzle,FAMILY,4.8,39480,14M,500000,Free,0,Everyone,Puzzle,16-Jun-17
GymnasticsSuperstarSpinyourwaytogold,FAMILY,4.6,305765,34M,10000000,Free,0,Everyone,Role Playing,31-Jul-18
SuperCityBuildaStory,FAMILY,4.4,98324,70M,1000000,Free,0,Everyone,Simulation,28-Jul-18
aa,FAMILY,4.2,886418,6.5M,50000000,Free,0,Everyone,Strategy,30-Jun-18
ColorbyNumberDrawSandboxPixelArt,FAMILY,4.6,10247,15M,1000000,Free,0,Everyone,Entertainment,27-Jul-18
BuildaBridge,FAMILY,4.6,263454,74M,10000000,Free,0,Everyone,Puzzle,02-Aug-18
MCRAFTAREDITOR,FAMILY,3.4,131,22M,5000,Free,0,Everyone,Simulation,24-Jun-18
CSPANRadio,FAMILY,3.6,608,5.4M,100000,Free,0,Everyone,Entertainment,17-May-18
ARSportCars,FAMILY,3.6,284,70M,10000,Free,0,Everyone,Simulation,10-Jun-17
ChannelU,FAMILY,4.6,34,14M,1000,Free,0,Everyone,Entertainment,21-May-18
ABBlastMatch,FAMILY,4.3,111,48M,10000,Free,0,Everyone,Puzzle,19-Jun-18
ABMatch,FAMILY,4.2,9,30M,1000,Free,0,Everyone,Casual,19-May-18
WiuEmulator,FAMILY,2.4,468,7.2M,10000,Free,0,Everyone,Entertainment,03-Mar-18
CityTaxiDriversimCabsimulatorGames,FAMILY,4.1,16111,57M,1000000,Free,0,Everyone,Simulation,12-Jun-18
ATTUverse,FAMILY,3.7,38606,96M,1000000,Free,0,Everyone,Entertainment,13-Jun-18
NoseDoctorXBoogerMania,FAMILY,3.2,37584,34M,5000000,Free,0,Everyone,Casual;Pretend Play,31-Aug-16
TalkingTomBenNews,FAMILY,4.4,1131937,41M,100000000,Free,0,Everyone,Entertainment,30-Apr-18
AngryBirdsPOPBubbleShooter,FAMILY,4.5,596628,99M,10000000,Free,0,Everyone,Casual,02-Aug-18
TheGrandBikeV,FAMILY,3.8,3478,95M,1000000,Free,0,Everyone,Simulation,24-Feb-18
IAmWizard,FAMILY,4.2,1493,57M,100000,Free,0,Everyone,Strategy,01-Apr-18
MyEmma,FAMILY,4.1,245839,76M,10000000,Free,0,Everyone,Casual,03-Apr-17
MyBooYourVirtualPetGame,FAMILY,4.4,899748,80M,10000000,Free,0,Everyone,Casual,03-Aug-18
WeaponssimulatorAK,FAMILY,4.1,21,26M,5000,Free,0,Everyone,Simulation,15-May-17
WeaponstrippingD,FAMILY,4.6,23971,24M,1000000,Free,0,Everyone,Simulation,04-Aug-18
ShootMvsAKrealisticweaponsimulator,FAMILY,3,2,33M,100,Free,0,Everyone,Simulation,18-Jul-18
AJRafaelMusicLessons,FAMILY,5,1,8.2M,10,Free,0,Everyone,Entertainment,29-Nov-17
MyTeacherClassroomPlay,FAMILY,4,155276,61M,10000000,Free,0,Everyone,Role Playing;Pretend Play,18-Jun-18
TomLovesAngela,FAMILY,4.1,1111915,50M,100000000,Free,0,Everyone,Entertainment,30-Apr-18
TalkingGinger,FAMILY,4.2,1752017,52M,100000000,Free,0,Everyone,Entertainment,05-Jul-18
ElkhartCountyHFair,FAMILY,3.9,38,42M,5000,Free,0,Everyone,Entertainment,06-Apr-18
MJXH,FAMILY,3.7,126,13M,10000,Free,0,Everyone,Entertainment,22-Aug-17
OhioStateFairH,FAMILY,3,4,19M,1000,Free,0,Everyone,Entertainment,07-Feb-18
KpopMusicQuizKpopGame,FAMILY,4.2,6418,59M,100000,Free,0,Everyone,Casual,08-May-17
RadioKKUOM,FAMILY,4.5,39,7.4M,1000,Free,0,Everyone,Entertainment,09-Mar-18
KOticUniverse,FAMILY,4.9,55,40M,1000,Free,0,Everyone,Puzzle,03-Aug-18
OST,FAMILY,3.7,4444,10M,500000,Free,0,Everyone,Entertainment,06-Jul-18
Xbox,FAMILY,4.3,556659,46M,10000000,Free,0,Everyone,Entertainment,20-Jun-18
ZapzapmathKMathGames,FAMILY,4.3,1065,61M,100000,Free,0,Everyone,Educational;Education,13-May-18
SightWordsPreKtoGrade,FAMILY,4.4,1185,40M,100000,Free,0,Everyone,Educational;Education,17-Jun-18
DualNBackBraingame,FAMILY,4.3,817,28M,100000,Free,0,Everyone,Educational,25-May-18
WheresMyWaterFree,FAMILY,4.4,1372013,57M,100000000,Free,0,Everyone,Puzzle;Brain Games,21-Nov-17
TomsLoveLetters,FAMILY,4.1,705805,35M,50000000,Free,0,Everyone,Entertainment,30-Apr-18
WhatwasIinmyPastLife,FAMILY,3.7,7453,6.5M,1000000,Free,0,Everyone,Entertainment,19-Dec-17
QWunder,FAMILY,3.8,156,43M,10000,Free,0,Everyone,Education;Education,30-Jun-18
SexyHotDetectorPrank,FAMILY,3.9,17067,2.7M,5000000,Free,0,Everyone,Casual,13-Feb-18
Goodyba,FAMILY,4.7,303,42M,10000,Free,0,Everyone,Entertainment,22-Jul-18
BgTVOnline,FAMILY,2.3,50,2.8M,10000,Free,0,Everyone,Entertainment,21-Oct-17
BGTVApp,FAMILY,1.7,6,2.9M,100,Free,0,Everyone,Entertainment,21-Dec-17
AzContent,FAMILY,3.5,24,13M,10000,Free,0,Everyone,Entertainment,05-Jun-18
AZPunjabiSongsMusicVideos,FAMILY,4.3,367,5.1M,100000,Free,0,Everyone,Entertainment,17-May-18
PSSecondScreen,FAMILY,2.4,11773,3.3M,1000000,Free,0,Everyone,Entertainment,13-Jun-18
ElifbaQuranLearningGame,FAMILY,4.7,1424,19M,100000,Free,0,Everyone,Educational,07-Jun-18
BDEarnPro,FAMILY,4.2,540,3.2M,10000,Free,0,Everyone,Entertainment,01-Aug-18
FatNoMoreBetheBiggestLoserintheGym,FAMILY,3.8,48545,38M,1000000,Free,0,Everyone,Casual,03-Aug-18
HelperforClashRoyaleAllin,FAMILY,4.3,6078,37M,500000,Free,0,Everyone,Entertainment,10-Nov-17
StatsCRClanforClashRoyale,FAMILY,3.8,16,9.9M,100,Free,0,Everyone,Entertainment,25-Jul-18
QuizforClashRoyale,FAMILY,4,3788,32M,100000,Free,0,Everyone,Entertainment,18-Jul-18
BDTYCOON,FAMILY,3.3,16,33M,500,Free,0,Everyone,Simulation,06-Jul-17
BDCastBanglaLiveTVRadio,FAMILY,4.4,7461,31M,1000000,Free,0,Everyone,Entertainment,20-May-18
PuCutegiantpandabearbabypetcaregame,FAMILY,4.5,22167,88M,1000000,Free,0,Everyone,Educational,12-Jun-18
ButheBabyBunnyCutepetcaregame,FAMILY,4.4,37122,89M,1000000,Free,0,Everyone,Educational,14-Jun-18
RealDJSimulator,FAMILY,4,68664,55M,10000000,Free,0,Everyone,Simulation,20-Apr-18
EatingShowFoodBJ,FAMILY,4.4,103,36M,10000,Free,0,Everyone,Simulation,30-Oct-17
BrParkingBusyroadParkingD,FAMILY,4.5,41,30M,5000,Free,0,Everyone,Simulation,13-Jan-18
VloggerGoViralTuberGame,FAMILY,4.8,1304467,68M,10000000,Free,0,Everyone,Strategy,27-Jul-18
AzVideoStatus,FAMILY,4.8,13,6.0M,100,Free,0,Everyone,Entertainment,02-Aug-18
ThrowKnife,FAMILY,3.7,291,37M,100000,Free,0,Everyone,Simulation,14-Sep-17
BVSridharaMaharaj,FAMILY,5,8,2.7M,100,Free,0,Everyone,Entertainment,03-Dec-17
SandboxArtSandboxColorbyNumberColoringPages,FAMILY,4.7,12784,15M,1000000,Free,0,Everyone,Entertainment,04-Aug-18
TattooColorByNumberDrawBookPagePixelArt,FAMILY,4,309,25M,100000,Free,0,Everyone,Entertainment,02-May-18
ValentineslovecolorbynumberPixelartcoloring,FAMILY,4.4,767,18M,100000,Free,0,Everyone,Entertainment,23-Feb-18
NoColorColorbyNumber,FAMILY,4.4,23474,8.8M,5000000,Free,0,Everyone,Casual;Creativity,26-Jul-18
NoDiamondColorsbyNumber,FAMILY,4.6,9016,24M,1000000,Free,0,Everyone,Entertainment;Creativity,06-Aug-18
CBRegister,FAMILY,5,1,5.6M,10,Free,0,Everyone,Entertainment,27-Jun-18
ColorbyNumberPixelArt,FAMILY,4.6,12034,34M,1000000,Free,0,Everyone,Entertainment,26-May-18
CDCHOICETUBE,FAMILY,5,10,5.8M,500,Free,0,Everyone,Entertainment,23-Jul-17
HalloweenSandboxNumberColoringColorByNumber,FAMILY,4.4,289,19M,100000,Free,0,Everyone,Entertainment,17-Feb-18
CGFM,FAMILY,5,2,6.6M,500,Free,0,Everyone,Entertainment,31-Jan-18
FlexBook,FAMILY,4.3,104,12M,10000,Free,0,Everyone,Education;Education,21-May-18
CKPhysicsSimulations,FAMILY,4.1,30,24M,5000,Free,0,Everyone,Education;Education,18-Apr-18
ButterflyPixelArtcoloringbynumber,FAMILY,4.6,769,13M,100000,Free,0,Everyone,Entertainment,04-Apr-18
PaintingByNumbers,FAMILY,4.1,213,26M,50000,Free,0,Everyone,Puzzle;Brain Games,08-Jun-18
CanKnockdown,FAMILY,4.1,155649,38M,10000000,Free,0,Everyone,Casual,11-Jul-18
CKPracticeMathScience,FAMILY,4.2,562,20M,50000,Free,0,Everyone,Education;Education,21-Dec-17
CodesforGTASanAndreas,FAMILY,3.8,12414,13M,1000000,Free,0,Everyone,Entertainment,04-Aug-17
BurritoBashWeBareBears,FAMILY,4.3,10776,21M,1000000,Free,0,Everyone,Arcade;Action & Adventure,26-Oct-17
CNResident,FAMILY,5,1,64M,100,Free,0,Everyone,Entertainment,22-May-17
WeBareBearsMatchRepairs,FAMILY,4.7,39153,98M,1000000,Free,0,Everyone,Puzzle,25-Jul-18
MagiMobileMightyMagiswords,FAMILY,4.2,120035,45M,5000000,Free,0,Everyone,Entertainment;Action & Adventure,04-Jan-18
CPevolutioncalculatorPokemo,FAMILY,4.1,78,787k,10000,Free,0,Everyone,Educational,26-Feb-17
SoundtrackAttack,FAMILY,4.3,96045,25M,5000000,Free,0,Everyone,Action;Action & Adventure,26-Jul-16
DotsCoAPuzzleAdventure,FAMILY,4.5,81001,85M,1000000,Free,0,Everyone,Puzzle,27-Apr-18
ChestSimulatorforClashRoyale,FAMILY,4.4,4756,33M,100000,Free,0,Everyone,Simulation,19-Jul-18
CPCalculator,FAMILY,4.1,187,2.9M,10000,Free,0,Everyone,Entertainment,13-Sep-16
PlanetofCubesSurvivalCraft,FAMILY,3.9,475944,35M,10000000,Free,0,Everyone,Simulation,26-Jun-18
CXwatcher,FAMILY,4.5,4,30M,500,Free,0,Everyone,Casual,21-Jun-18
PLAYzonecz,FAMILY,4.4,14,7.3M,500,Free,0,Everyone,Entertainment,07-Nov-17
GlamDollSalonChicFashion,FAMILY,4,93898,44M,10000000,Free,0,Everyone,Casual,26-May-17
Dr,FAMILY,3.9,1985,3.5M,500000,Free,0,Everyone,Puzzle,30-Dec-17
DrPandaIceCreamTruckFree,FAMILY,4.4,23022,80M,1000000,Free,0,Everyone,Role Playing;Pretend Play,02-Aug-18
DBforHustleCastle,FAMILY,4.8,21,49M,1000,Free,0,Everyone,Role Playing,04-Jul-18
PKandDKAudioApp,FAMILY,5,2,3.9M,100,Free,0,Everyone,Entertainment,25-Oct-17
EscapethePrisonRoom,FAMILY,3.5,113183,36M,5000000,Free,0,Everyone,Puzzle,15-Dec-17
LEGODCMightyMicros,FAMILY,4.3,139545,63M,10000000,Free,0,Everyone,Racing;Action & Adventure,30-Jan-18
AnimeLoveStoryGamesShadowtime,FAMILY,4.7,198480,82M,5000000,Free,0,Everyone,Simulation,03-Aug-18
DownloadVideoFree,FAMILY,4,39682,6.2M,1000000,Free,0,Everyone,Entertainment,03-Apr-18
DHUFO,FAMILY,3,4,8.0M,1000,Free,0,Everyone,Entertainment,08-Jun-17
ResultsforDCLottery,FAMILY,4.4,160,8.5M,5000,Free,0,Everyone,Entertainment,11-Mar-17
DQSalmaanAfanmadeApp,FAMILY,4.9,707,6.0M,10000,Free,0,Everyone,Entertainment,04-Feb-18
ProfilePicturesBestDPStatus,FAMILY,4.3,131,5.4M,50000,Free,0,Everyone,Entertainment,29-Nov-17
BestDPAndVideoStatusForWhatsapp,FAMILY,4.2,91,3.8M,10000,Free,0,Everyone,Entertainment,31-May-18
DOYOUKNOWTHEWAYSoundboard,FAMILY,4.5,1007,5.2M,100000,Free,0,Everyone,Entertainment,01-Jul-18
TalkingHuskyDog,FAMILY,4.4,26545,40M,1000000,Free,0,Everyone,Casual,20-Jul-18
TalkingTomBubbleShooter,FAMILY,4.4,687136,54M,50000000,Free,0,Everyone,Casual,25-May-18
