App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
AUResultsAUCOECorner,FAMILY,4,664,2.1M,100000,Free,0,Everyone,Education,14/12/2017,2.2.5,4.1 and up
CrAviationAcademy,FAMILY,5,7,22M,100,Free,0,Everyone,Education,09/08/2017,1,4.1 and up
ElifBaLearnTheHolyQuran,FAMILY,4.8,1491,38M,50000,Free,0,Everyone,Education,31/10/2017,1.3,4.1 and up
BCConnect,FAMILY,3.8,11,17M,1000,Free,0,Everyone,Education,14/03/2018,2.6.12,4.1 and up
BCWildflowers,FAMILY,4.4,7,81M,1000,Free,0,Everyone,Education,10/07/2017,3.5,4.1 and up
APCalculusBCPracticeTestsandFlashcards,FAMILY,3.6,5,5.4M,1000,Free,0,Everyone,Education,03/07/2018,1.6.7.1,4.1 and up
ArizonaMobile,FAMILY,4.3,285,6.2M,10000,Free,0,Everyone,Education,07/11/2017,4.7,4.1 and up
LearnEnglishVocabularyWords,FAMILY,4.5,205914,54M,10000000,Free,0,Everyone,Education,03/08/2018,5.54,4.1 and up
BrShafi,FAMILY,4.9,1288,26M,10000,Free,0,Everyone,Education,11/07/2018,1,4.1 and up
BSCSITSE,FAMILY,4.6,9,6.9M,1000,Free,0,Everyone,Education,16/05/2018,1.2,4.1 and up
BscAgriNotes,FAMILY,4.5,301,5.6M,10000,Free,0,Everyone,Education,01/07/2018,1,4.1 and up
BScAgEntrancePreparation,FAMILY,4.4,138,6.2M,10000,Free,0,Everyone,Education,31/05/2018,3.7,4.1 and up
CRFamily,FAMILY,2.3,10,5.2M,1000,Free,0,Everyone,Education,08/02/2017,1.0.0,4.1 and up
SAPBWTutorial,FAMILY,4,11,9.4M,1000,Free,0,Everyone,Education,10/01/2016,0.0.1,4.1 and up
TFOBZLessons,FAMILY,4.4,75,3.7M,500,Free,0,Everyone,Education,28/04/2017,2.1.1,4.1 and up
CBNews,FAMILY,5,7,20M,50,Free,0,Everyone,Education,10/09/2016,1.2.0,4.1 and up
ProfessorOnlineSEDUCCE,FAMILY,4.1,188,4.6M,10000,Free,0,Everyone,Education,06/07/2018,1.3,4.1 and up
CFLife,FAMILY,5,4,8.3M,100,Free,0,Everyone,Education,27/06/2018,3.8.0,4.1 and up
PermitTestCOColoradoDMV,FAMILY,4.5,41,11M,1000,Free,0,Everyone,Education,15/06/2017,2.6.5,4.1 and up
GATECSEngineeringExamPrepApp,FAMILY,4.2,162,6.2M,10000,Free,0,Everyone,Education,15/02/2018,Y4W-GATE_CS-5.0.0,4.1 and up
DUCSLecturesLearntoCodeforFree,FAMILY,4.8,16,7.8M,100,Free,0,Everyone,Education,29/07/2018,4,4.1 and up
PermitTestConnecticutCTDMV,FAMILY,4.6,186,9.6M,10000,Free,0,Everyone,Education,12/10/2017,2.9.0,4.1 and up
CSInterviewQuestionsTechQ,FAMILY,4.8,33,6.7M,5000,Free,0,Everyone,Education,27/01/2017,1.5,4.1 and up
MathSolver,FAMILY,4.3,2250,30M,100000,Free,0,Everyone,Education,21/11/2017,1.2,4.1 and up
CymathMathProblemSolver,FAMILY,4.5,10159,6.4M,1000000,Free,0,Everyone,Education,13/04/2018,2.17,4.1 and up
DriverPermitTestPrepDCDMVDriversLicenseEd,FAMILY,4.7,78,11M,5000,Free,0,Everyone,Education,12/10/2017,2.9.0,4.1 and up
DMBuddyLearnDigitalMarketing,FAMILY,5,3,1.7M,500,Free,0,Everyone,Education,11/07/2017,2.1,4.1 and up
DSStudents,FAMILY,4.8,5,8.4M,100,Free,0,Everyone,Education,03/07/2018,2,4.1 and up
DuChineseMandarinLessons,FAMILY,4.8,3390,9.2M,100000,Free,0,Everyone,Education,03/10/2017,1.5.0,4.1 and up
DWAudio,FAMILY,4.9,38,5.0M,1000,Free,0,Everyone,Education,16/06/2017,0.9.0,4.1 and up
USADVLotteryProcess,FAMILY,4.5,8,1.7M,1000,Free,0,Everyone,Education,12/03/2017,1,4.1 and up
EBMobile,FAMILY,1.7,1172,5.6M,10000,Free,0,Everyone,Education,09/10/2017,1.1.2,4.1 and up
KPSCHAUHANDYDX,FAMILY,4.9,37,10M,100,Free,0,Everyone,Education,28/07/2018,1.0.32.1,4.1 and up
DrDYPatilVidyapeethGBS,FAMILY,4,3,5.3M,100,Free,0,Everyone,Education,14/02/2017,1.0.1702140017,4.1 and up
EyewitnessTravelPhraseBook,FAMILY,3.8,10,25M,1000,Free,0,Everyone,Education,28/07/2017,1,4.1 and up
VisuellesWrterbuchAudioApp,FAMILY,3.1,192,66M,10000,Free,0,Everyone,Education,07/07/2017,1.1.6,4.1 and up
EFTeacher,FAMILY,3.1,16,17M,1000,Free,0,Everyone,Education,19/04/2018,1.6,4.1 and up
EFParnts,FAMILY,4.1,435,17M,50000,Free,0,Everyone,Education,21/06/2018,3.1.0,4.1 and up
EnglishinaMonthFree,FAMILY,3.8,6577,13M,1000000,Free,0,Everyone,Education,23/07/2017,1.28,4.1 and up
EnglishAudioBooksLibrivox,FAMILY,4,10773,10M,1000000,Free,0,Everyone,Education,29/11/2017,8.02,4.1 and up
MyEU,FAMILY,3.8,4,13M,100,Free,0,Everyone,Education,15/05/2017,3.2.1,4.1 and up
BMSPMPractice,FAMILY,5,6,9.2M,1000,Free,0,Everyone,Education,24/01/2018,1,4.1 and up
LearnMathwithelChavo,FAMILY,4.2,840,60M,100000,Free,0,Everyone,Education,28/06/2018,1.1,4.1 and up
POLARISMFG,FAMILY,4.8,1228,29M,10000,Free,0,Everyone,Education,28/03/2018,1.7,4.1 and up
UniversityofFlorida,FAMILY,4,168,7.6M,10000,Free,0,Everyone,Education,02/10/2017,2,4.1 and up
FloridaTechMobile,FAMILY,3.8,87,5.4M,5000,Free,0,Everyone,Education,13/09/2016,5.2,4.1 and up
FloridaWildflowers,FAMILY,5,5,69M,1000,Free,0,Everyone,Education,10/07/2017,1.5,4.1 and up
FrMikeSchmitzAudioTeachings,FAMILY,5,4,3.6M,100,Free,0,Everyone,Education,06/07/2018,1,4.1 and up
SyaaMarocFR,FAMILY,4.5,38,53M,5000,Free,0,Everyone,Education,25/07/2017,1.48,4.1 and up
FRCalculator,FAMILY,4,7,2.6M,500,Free,0,Everyone,Education,18/06/2017,1.0.0,4.1 and up
PermitTestFLFloridaDHSMV,FAMILY,4.7,246,11M,10000,Free,0,Everyone,Education,12/10/2017,2.9.0,4.1 and up
MonsterHigh,FAMILY,4.1,66661,22M,5000000,Free,0,Everyone,Casual;Pretend Play,02/02/2018,5.2,4.1 and up
AnimalJamPlayWild,FAMILY,4.6,361970,58M,5000000,Free,0,Everyone,Casual;Pretend Play,02/08/2018,28.0.14,4.1 and up
RealRacing,FAMILY,4.5,354384,71M,10000000,Free,0,Everyone,Racing;Action & Adventure,02/07/2018,6.4.0,4.1 and up
ShopkinsWorld,FAMILY,4.3,169609,34M,10000000,Free,0,Everyone,Arcade;Action & Adventure,13/06/2018,3.6.1,4.1 and up
TransformersRescueBotsHeroAdventures,FAMILY,4.2,41273,16M,5000000,Free,0,Everyone,Adventure;Action & Adventure,05/07/2018,1.5,4.1 and up
MyLittlePonyHarmonyQuest,FAMILY,4.1,148295,26M,10000000,Free,0,Everyone,Casual;Action & Adventure,05/03/2018,1.6,4.1 and up
PACMANPop,FAMILY,4.3,24877,54M,5000000,Free,0,Everyone,Puzzle;Action & Adventure,20/06/2018,2.1.6579,4.1 and up
TransformersRescueBotsDisasterDash,FAMILY,4.4,19245,25M,1000000,Free,0,Everyone,Casual;Action & Adventure,28/03/2018,1.3,4.1 and up
PlantsvsZombiesHeroes,FAMILY,4.4,379415,68M,10000000,Free,0,Everyone,Casual;Action & Adventure,26/06/2018,1.28.01,4.1 and up
SupermarketGameforKids,FAMILY,4.4,112080,26M,10000000,Free,0,Everyone,Casual;Pretend Play,26/07/2018,1.24,4.1 and up
codeSparkAcademyTheFoos,FAMILY,4.1,4522,57M,500000,Free,0,Everyone,Educational;Education,21/06/2018,2.19.01,4.1 and up
NancyDrewCodesandClues,FAMILY,4.1,154,16M,10000,Free,0,Everyone,Educational;Education,13/01/2017,2.0.0,4.1 and up
EarthtoLunaWatchandPlay,FAMILY,3.9,10753,84M,1000000,Free,0,Everyone,Educational;Education,23/07/2018,2.5.6,4.1 and up
ThomasFriendsGoGoThomas,FAMILY,4.1,175625,16M,10000000,Free,0,Everyone,Racing;Action & Adventure,22/11/2017,1.4,4.1 and up
DoctorPets,FAMILY,4.2,23060,21M,1000000,Free,0,Everyone,Educational;Education,26/07/2018,1.19,4.1 and up
ChessforKidsPlayLearn,FAMILY,4.1,3234,47M,100000,Free,0,Everyone,Puzzle;Brain Games,15/05/2018,2.2.3,4.1 and up
Checkers,FAMILY,4.1,3617,19M,1000000,Free,0,Everyone,Board;Brain Games,24/07/2018,4.0.2,4.1 and up
COOKINGMAMALetsCook,FAMILY,4.3,528745,59M,10000000,Free,0,Everyone,Educational;Pretend Play,26/07/2018,1.38.0,4.1 and up
HelloKittyLunchbox,FAMILY,4.2,51838,15M,5000000,Free,0,Everyone,Casual;Creativity,21/11/2017,1.6,4.1 and up
BarbieLife,FAMILY,3.9,133117,63M,5000000,Free,0,Everyone,Casual;Pretend Play,12/07/2018,2.6,4.1 and up
DominosGame,FAMILY,4.1,2903,16M,1000000,Free,0,Everyone,Board;Brain Games,05/07/2018,5.2,4.1 and up
BarbieMagicalFashion,FAMILY,4,328619,15M,10000000,Free,0,Everyone,Casual;Creativity,06/10/2017,2.2,4.1 and up
TocaKitchen,FAMILY,4.5,1014822,56M,50000000,Free,0,Everyone,Educational;Pretend Play,29/06/2017,1.2.3-play,4.1 and up
TruckTransportRawMaterial,FAMILY,4.2,632,50M,100000,Free,0,Everyone,Simulation,20/07/2018,1.4,4.1 and up
flix,FAMILY,4.2,1111,7.3M,100000,Free,0,Everyone,Entertainment,05/06/2018,3.6.1,4.1 and up
TETRISBlitz,FAMILY,4.4,201631,96M,5000000,Free,0,Everyone,Puzzle,01/06/2018,4.4.4,4.1 and up
POGOGames,FAMILY,3.8,32600,26M,1000000,Free,0,Everyone,Casual,22/02/2017,1.4.10,4.1 and up
MyOasisCalmingandRelaxingIdleClickerGame,FAMILY,4.6,106750,94M,1000000,Free,0,Everyone,Simulation;Action & Adventure,29/06/2018,1.221,4.1 and up
CutieCubies,FAMILY,4.4,6356,83M,500000,Free,0,Everyone,Puzzle;Creativity,04/07/2018,1.180702,4.1 and up
KidsCornerInteractiveTalesandGamesforkids,FAMILY,4.5,6404,46M,500000,Free,0,Everyone,Educational;Brain Games,16/07/2018,1.8.3,4.1 and up
MontessoriPreschool,FAMILY,3.9,237,26M,100000,Free,0,Everyone,Education;Education,12/07/2018,1.7.2,4.1 and up
RhythmPatrol,FAMILY,4.3,4207,26M,100000,Free,0,Everyone,Music;Music & Video,23/07/2018,2.180723,4.1 and up
StrawberryShortcakeIceCreamIsland,FAMILY,4.2,32029,15M,5000000,Free,0,Everyone,Casual;Pretend Play,06/11/2017,1.2,4.1 and up
EducationalGamesKids,FAMILY,4.3,11618,39M,5000000,Free,0,Everyone,Educational;Education,03/04/2018,2.4,4.1 and up
PuzzleKidsAnimalsShapesandJigsawPuzzles,FAMILY,4.6,1109,52M,1000000,Free,0,Everyone,Educational;Brain Games,18/07/2018,1.0.6,4.1 and up
KidsEducationalGameFree,FAMILY,4.3,24936,38M,5000000,Free,0,Everyone,Educational;Education,16/05/2018,3.1,4.1 and up
SuperABCLearninggamesforkidsPreschoolapps,FAMILY,4.6,20267,46M,1000000,Free,0,Everyone,Educational;Education,16/07/2018,1.1.6.7,4.1 and up
MyLittlePonyRainbowRunners,FAMILY,4.3,33785,16M,5000000,Free,0,Everyone,Casual;Action & Adventure,20/12/2017,1.3,4.1 and up
XtremeRacingJeepxoffroadsimulator,FAMILY,4.2,2178,99M,500000,Free,0,Everyone,Racing;Action & Adventure,23/08/2017,1.0.8,4.1 and up
FruitCubeBlast,FAMILY,4.6,9199,80M,500000,Free,0,Everyone,Puzzle;Brain Games,03/08/2018,1.2.7,4.1 and up
BabyABCinboxKidsalphabetgamesfortoddlers,FAMILY,4.6,9652,53M,1000000,Free,0,Everyone,Educational;Education,16/07/2018,2.0.7.4,4.1 and up
LEGOFriendsHeartlakeRush,FAMILY,4.5,23671,91M,1000000,Free,0,Everyone,Arcade;Pretend Play,31/07/2018,1.2.0,4.1 and up
DrawingforKidsLearningGamesforToddlersage,FAMILY,4.6,29436,43M,1000000,Free,0,Everyone,Educational;Education,21/03/2018,2.0.5.0,4.1 and up
DrPandaTownVacation,FAMILY,3.8,10366,78M,1000000,Free,0,Everyone,Education;Pretend Play,24/07/2018,1.2.1,4.1 and up
ExtremeRacingRealdrivingRCcarsgame,FAMILY,4.3,4207,93M,500000,Free,0,Everyone,Racing;Action & Adventure,31/08/2017,1.1.9,4.1 and up
LEGOJuniorsCreateCruise,FAMILY,4.1,673203,73M,50000000,Free,0,Everyone,Educational;Action & Adventure,19/01/2018,6.7.5222,4.1 and up
DrPandaRestaurant,FAMILY,4.2,11126,91M,1000000,Free,0,Everyone,Educational;Pretend Play,23/03/2018,1.6.4,4.1 and up
TunnelTown,FAMILY,4.4,74744,60M,1000000,Free,0,Everyone,Strategy,26/07/2018,1.5.6,4.1 and up
BonzaPolyArtTenkyuAnimalJamforKids,FAMILY,4.1,22,31M,1000,Free,0,Everyone,Puzzle,03/08/2018,1.0.9,4.1 and up
OrbitaAIExcitingmobilepuzzlesriddles,FAMILY,4.6,116973,31M,1000000,Free,0,Everyone,Puzzle,29/03/2018,1.1.9.1,4.1 and up
AJAcademyAmazingAnimals,FAMILY,4.5,1564,35M,50000,Free,0,Everyone,Educational;Education,25/05/2018,1.1.0,4.1 and up
ARToyboxAugmentedRealityDemos,FAMILY,3.8,20,36M,1000,Free,0,Everyone,Simulation,17/08/2017,1.0.2,4.1 and up
BubbuMyVirtualPet,FAMILY,4.7,394842,75M,10000000,Free,0,Everyone,Casual;Pretend Play,04/08/2018,1.5,4.1 and up
AGSubwaySimulatorLite,FAMILY,4.4,6738,56M,100000,Free,0,Everyone,Simulation,08/06/2018,1.2.6,4.1 and up
BadPiggies,FAMILY,4.3,1168959,66M,50000000,Free,0,Everyone,Puzzle,03/05/2017,2.3.3,4.1 and up
DanceSchoolStoriesDanceDreamsComeTrue,FAMILY,4.4,91171,36M,1000000,Free,0,Everyone,Role Playing,03/08/2018,1.0.8,4.1 and up
WorldHistoryQuickeBook,FAMILY,4.4,1657,4.9M,100000,Free,0,Everyone,Education;Education,17/07/2018,1.35,4.1 and up
OffroadGClass,FAMILY,4.4,7715,28M,500000,Free,0,Everyone,Simulation,29/06/2018,1.7,4.1 and up
FindaWayAddictivePuzzle,FAMILY,4.8,39480,14M,500000,Free,0,Everyone,Puzzle,16/06/2017,4.1.1,4.1 and up
GymnasticsSuperstarSpinyourwaytogold,FAMILY,4.6,305765,34M,10000000,Free,0,Everyone,Role Playing,31/07/2018,1.1.7,4.1 and up
SuperCityBuildaStory,FAMILY,4.4,98324,70M,1000000,Free,0,Everyone,Simulation,28/07/2018,1.19.1,4.1 and up
aa,FAMILY,4.2,886418,6.5M,50000000,Free,0,Everyone,Strategy,30/06/2018,1.7.3,4.1 and up
ColorbyNumberDrawSandboxPixelArt,FAMILY,4.6,10247,15M,1000000,Free,0,Everyone,Entertainment,27/07/2018,1.3.13,4.1 and up
BuildaBridge,FAMILY,4.6,263454,74M,10000000,Free,0,Everyone,Puzzle,02/08/2018,2.1.1,4.1 and up
MCRAFTAREDITOR,FAMILY,3.4,131,22M,5000,Free,0,Everyone,Simulation,24/06/2018,1,4.1 and up
CSPANRadio,FAMILY,3.6,608,5.4M,100000,Free,0,Everyone,Entertainment,17/05/2018,4.3.2,4.1 and up
ARSportCars,FAMILY,3.6,284,70M,10000,Free,0,Everyone,Simulation,10/06/2017,1,4.1 and up
ChannelU,FAMILY,4.6,34,14M,1000,Free,0,Everyone,Entertainment,21/05/2018,1.3,4.1 and up
ABBlastMatch,FAMILY,4.3,111,48M,10000,Free,0,Everyone,Puzzle,19/06/2018,1.13,4.1 and up
ABMatch,FAMILY,4.2,9,30M,1000,Free,0,Everyone,Casual,19/05/2018,1.0.4,4.1 and up
WiuEmulator,FAMILY,2.4,468,7.2M,10000,Free,0,Everyone,Entertainment,03/03/2018,0.0.1,4.1 and up
CityTaxiDriversimCabsimulatorGames,FAMILY,4.1,16111,57M,1000000,Free,0,Everyone,Simulation,12/06/2018,1.11,4.1 and up
ATTUverse,FAMILY,3.7,38606,96M,1000000,Free,0,Everyone,Entertainment,13/06/2018,5.9.0.0031,4.1 and up
NoseDoctorXBoogerMania,FAMILY,3.2,37584,34M,5000000,Free,0,Everyone,Casual;Pretend Play,31/08/2016,1.0.8,4.1 and up
TalkingTomBenNews,FAMILY,4.4,1131937,41M,100000000,Free,0,Everyone,Entertainment,30/04/2018,2.4.0.7,4.1 and up
AngryBirdsPOPBubbleShooter,FAMILY,4.5,596628,99M,10000000,Free,0,Everyone,Casual,02/08/2018,3.39.0,4.1 and up
TheGrandBikeV,FAMILY,3.8,3478,95M,1000000,Free,0,Everyone,Simulation,24/02/2018,4,4.1 and up
IAmWizard,FAMILY,4.2,1493,57M,100000,Free,0,Everyone,Strategy,01/04/2018,1.0.9,4.1 and up
MyEmma,FAMILY,4.1,245839,76M,10000000,Free,0,Everyone,Casual,03/04/2017,2.7.0,4.1 and up
MyBooYourVirtualPetGame,FAMILY,4.4,899748,80M,10000000,Free,0,Everyone,Casual,03/08/2018,2.11,4.1 and up
WeaponssimulatorAK,FAMILY,4.1,21,26M,5000,Free,0,Everyone,Simulation,15/05/2017,1,4.1 and up
WeaponstrippingD,FAMILY,4.6,23971,24M,1000000,Free,0,Everyone,Simulation,04/08/2018,39.231,4.1 and up
ShootMvsAKrealisticweaponsimulator,FAMILY,3,2,33M,100,Free,0,Everyone,Simulation,18/07/2018,1,4.1 and up
AJRafaelMusicLessons,FAMILY,5,1,8.2M,10,Free,0,Everyone,Entertainment,29/11/2017,1.2.1,4.1 and up
MyTeacherClassroomPlay,FAMILY,4,155276,61M,10000000,Free,0,Everyone,Role Playing;Pretend Play,18/06/2018,1.1.0,4.1 and up
TomLovesAngela,FAMILY,4.1,1111915,50M,100000000,Free,0,Everyone,Entertainment,30/04/2018,2.2.1.3,4.1 and up
TalkingGinger,FAMILY,4.2,1752017,52M,100000000,Free,0,Everyone,Entertainment,05/07/2018,2.5.6.11,4.1 and up
ElkhartCountyHFair,FAMILY,3.9,38,42M,5000,Free,0,Everyone,Entertainment,06/04/2018,5055.524.5,4.1 and up
MJXH,FAMILY,3.7,126,13M,10000,Free,0,Everyone,Entertainment,22/08/2017,1.0-build20170819,4.1 and up
OhioStateFairH,FAMILY,3,4,19M,1000,Free,0,Everyone,Entertainment,07/02/2018,3.0.1,4.1 and up
KpopMusicQuizKpopGame,FAMILY,4.2,6418,59M,100000,Free,0,Everyone,Casual,08/05/2017,1.3,4.1 and up
RadioKKUOM,FAMILY,4.5,39,7.4M,1000,Free,0,Everyone,Entertainment,09/03/2018,3.0.57,4.1 and up
KOticUniverse,FAMILY,4.9,55,40M,1000,Free,0,Everyone,Puzzle,03/08/2018,108,4.1 and up
OST,FAMILY,3.7,4444,10M,500000,Free,0,Everyone,Entertainment,06/07/2018,3.0.12,4.1 and up
Xbox,FAMILY,4.3,556659,46M,10000000,Free,0,Everyone,Entertainment,20/06/2018,1805.0618.1637,4.1 and up
ZapzapmathKMathGames,FAMILY,4.3,1065,61M,100000,Free,0,Everyone,Educational;Education,13/05/2018,4.1.10,4.1 and up
SightWordsPreKtoGrade,FAMILY,4.4,1185,40M,100000,Free,0,Everyone,Educational;Education,17/06/2018,1.5.1,4.1 and up
DualNBackBraingame,FAMILY,4.3,817,28M,100000,Free,0,Everyone,Educational,25/05/2018,2.4.2,4.1 and up
WheresMyWaterFree,FAMILY,4.4,1372013,57M,100000000,Free,0,Everyone,Puzzle;Brain Games,21/11/2017,1.10.0,4.1 and up
TomsLoveLetters,FAMILY,4.1,705805,35M,50000000,Free,0,Everyone,Entertainment,30/04/2018,2.3.1.8,4.1 and up
WhatwasIinmyPastLife,FAMILY,3.7,7453,6.5M,1000000,Free,0,Everyone,Entertainment,19/12/2017,2.1,4.1 and up
QWunder,FAMILY,3.8,156,43M,10000,Free,0,Everyone,Education;Education,30/06/2018,2.0.13,4.1 and up
SexyHotDetectorPrank,FAMILY,3.9,17067,2.7M,5000000,Free,0,Everyone,Casual,13/02/2018,2.4.4,4.1 and up
Goodyba,FAMILY,4.7,303,42M,10000,Free,0,Everyone,Entertainment,22/07/2018,2.0.5,4.1 and up
BgTVOnline,FAMILY,2.3,50,2.8M,10000,Free,0,Everyone,Entertainment,21/10/2017,1.2,4.1 and up
BGTVApp,FAMILY,1.7,6,2.9M,100,Free,0,Everyone,Entertainment,21/12/2017,1,4.1 and up
AzContent,FAMILY,3.5,24,13M,10000,Free,0,Everyone,Entertainment,05/06/2018,1.0.15,4.1 and up
AZPunjabiSongsMusicVideos,FAMILY,4.3,367,5.1M,100000,Free,0,Everyone,Entertainment,17/05/2018,1.0.19,4.1 and up
PSSecondScreen,FAMILY,2.4,11773,3.3M,1000000,Free,0,Everyone,Entertainment,13/06/2018,18.6.2,4.1 and up
ElifbaQuranLearningGame,FAMILY,4.7,1424,19M,100000,Free,0,Everyone,Educational,07/06/2018,2.2,4.1 and up
BDEarnPro,FAMILY,4.2,540,3.2M,10000,Free,0,Everyone,Entertainment,01/08/2018,2.4,4.1 and up
FatNoMoreBetheBiggestLoserintheGym,FAMILY,3.8,48545,38M,1000000,Free,0,Everyone,Casual,03/08/2018,1.2.14,4.1 and up
HelperforClashRoyaleAllin,FAMILY,4.3,6078,37M,500000,Free,0,Everyone,Entertainment,10/11/2017,2.0.0,4.1 and up
StatsCRClanforClashRoyale,FAMILY,3.8,16,9.9M,100,Free,0,Everyone,Entertainment,25/07/2018,1.2.9,4.1 and up
QuizforClashRoyale,FAMILY,4,3788,32M,100000,Free,0,Everyone,Entertainment,18/07/2018,3.0.1,4.1 and up
BDTYCOON,FAMILY,3.3,16,33M,500,Free,0,Everyone,Simulation,06/07/2017,1.2,4.1 and up
BDCastBanglaLiveTVRadio,FAMILY,4.4,7461,31M,1000000,Free,0,Everyone,Entertainment,20/05/2018,4.2.1,4.1 and up
PuCutegiantpandabearbabypetcaregame,FAMILY,4.5,22167,88M,1000000,Free,0,Everyone,Educational,12/06/2018,1.18,4.1 and up
ButheBabyBunnyCutepetcaregame,FAMILY,4.4,37122,89M,1000000,Free,0,Everyone,Educational,14/06/2018,1.03,4.1 and up
RealDJSimulator,FAMILY,4,68664,55M,10000000,Free,0,Everyone,Simulation,20/04/2018,1.7,4.1 and up
EatingShowFoodBJ,FAMILY,4.4,103,36M,10000,Free,0,Everyone,Simulation,30/10/2017,1.29,4.1 and up
BrParkingBusyroadParkingD,FAMILY,4.5,41,30M,5000,Free,0,Everyone,Simulation,13/01/2018,1.01,4.1 and up
VloggerGoViralTuberGame,FAMILY,4.8,1304467,68M,10000000,Free,0,Everyone,Strategy,27/07/2018,2.9,4.1 and up
AzVideoStatus,FAMILY,4.8,13,6.0M,100,Free,0,Everyone,Entertainment,02/08/2018,1.0.4,4.1 and up
ThrowKnife,FAMILY,3.7,291,37M,100000,Free,0,Everyone,Simulation,14/09/2017,2.04,4.1 and up
BVSridharaMaharaj,FAMILY,5,8,2.7M,100,Free,0,Everyone,Entertainment,03/12/2017,1.1,4.1 and up
SandboxArtSandboxColorbyNumberColoringPages,FAMILY,4.7,12784,15M,1000000,Free,0,Everyone,Entertainment,04/08/2018,1.3.3,4.1 and up
TattooColorByNumberDrawBookPagePixelArt,FAMILY,4,309,25M,100000,Free,0,Everyone,Entertainment,02/05/2018,1.4,4.1 and up
ValentineslovecolorbynumberPixelartcoloring,FAMILY,4.4,767,18M,100000,Free,0,Everyone,Entertainment,23/02/2018,1.1,4.1 and up
